# N=10 REP=500 dy=0.01
# BRG
# cicle p
0 0
0.025 0.004
0.0375 0.006
0.04375 0.012
0.05 0.018
0.0515625 0.018
0.0523438 0.024
0.053125 0.03
0.05625 0.036
0.0570313 0.018
0.0578125 0.012
0.059375 0.02
0.0601562 0.034
0.0609375 0.042
0.0625 0.05
0.0640625 0.042
0.065625 0.038
0.06875 0.038
0.0695313 0.054
0.0703125 0.054
0.071875 0.062
0.075 0.066
0.078125 0.074
0.08125 0.082
0.084375 0.08
0.0851563 0.086
0.0859375 0.1
0.0875 0.1
0.09375 0.11
0.0953125 0.114
0.0960938 0.14
0.096875 0.126
0.0976562 0.142
0.0984375 0.146
0.0992188 0.114
0.1 0.168
0.10625 0.178
0.107031 0.182
0.107813 0.194
0.108594 0.212
0.109375 0.206
0.110937 0.208
0.111719 0.216
0.1125 0.194
0.113281 0.218
0.114063 0.236
0.114844 0.234
0.115625 0.21
0.116406 0.24
0.117188 0.226
0.117969 0.202
0.11875 0.25
0.120312 0.256
0.121094 0.294
0.121875 0.266
0.122656 0.242
0.123438 0.25
0.124219 0.268
0.125 0.286
0.13125 0.294
0.132031 0.326
0.132812 0.334
0.133594 0.318
0.134375 0.352
0.135938 0.346
0.136719 0.358
0.1375 0.32
0.138281 0.356
0.139063 0.362
0.139844 0.356
0.140625 0.388
0.142188 0.388
0.142969 0.396
0.14375 0.35
0.144531 0.402
0.145313 0.396
0.146094 0.43
0.146875 0.426
0.147656 0.458
0.148438 0.406
0.149219 0.416
0.15 0.456
0.153125 0.448
0.153906 0.44
0.154688 0.458
0.155469 0.47
0.15625 0.488
0.157031 0.492
0.157813 0.472
0.158594 0.454
0.159375 0.46
0.160156 0.498
0.160938 0.558
0.161719 0.538
0.1625 0.51
0.164063 0.504
0.164844 0.532
0.165625 0.538
0.166406 0.554
0.167188 0.568
0.167969 0.508
0.16875 0.548
0.171875 0.544
0.172656 0.58
0.173438 0.58
0.174219 0.582
0.175 0.612
0.18125 0.616
0.182813 0.61
0.183594 0.614
0.184375 0.598
0.185156 0.644
0.185938 0.674
0.186719 0.692
0.1875 0.642
0.188281 0.674
0.189062 0.628
0.189844 0.67
0.190625 0.68
0.19375 0.68
0.195312 0.688
0.196094 0.68
0.196875 0.724
0.2 0.722
0.200781 0.72
0.201563 0.71
0.202344 0.726
0.203125 0.74
0.203906 0.712
0.204688 0.756
0.20625 0.75
0.207031 0.77
0.207813 0.77
0.209375 0.764
0.210156 0.756
0.210938 0.75
0.211719 0.724
0.2125 0.804
0.215625 0.808
0.216406 0.802
0.217188 0.83
0.217969 0.798
0.21875 0.782
0.219531 0.798
0.220312 0.804
0.221875 0.804
0.222656 0.788
0.223438 0.836
0.225 0.834
0.23125 0.836
0.234375 0.83
0.235156 0.856
0.235937 0.876
0.236719 0.856
0.2375 0.854
0.240625 0.858
0.241406 0.864
0.242188 0.88
0.242969 0.866
0.24375 0.87
0.246875 0.872
0.247656 0.898
0.248438 0.886
0.249219 0.874
0.25 0.908
0.25625 0.912
0.259375 0.91
0.260938 0.91
0.261719 0.92
0.2625 0.946
0.26875 0.936
0.271875 0.944
0.273438 0.942
0.274219 0.948
0.275 0.926
0.275781 0.924
0.276563 0.964
0.278125 0.956
0.28125 0.958
0.2875 0.964
0.3 0.964
0.301562 0.972
0.303125 0.974
0.30625 0.98
0.3125 0.986
0.325 0.992
0.35 0.992
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
