# N=60 REP=500 dy=0.001
# BRG
# esConnex p
0 0
0.025 0
0.0375 0
0.0382813 0
0.0390625 0.002
0.0398438 0.002
0.040625 0.01
0.0414063 0.004
0.0421875 0.008
0.0429688 0
0.04375 0.026
0.0445313 0.014
0.0453125 0.012
0.0460938 0.026
0.046875 0.03
0.0476562 0.032
0.0484375 0.048
0.0492188 0.052
0.05 0.044
0.0507812 0.052
0.0515625 0.062
0.0523438 0.076
0.053125 0.088
0.0539063 0.102
0.0546875 0.086
0.0554687 0.138
0.05625 0.144
0.0570313 0.188
0.0578125 0.188
0.0585938 0.166
0.059375 0.18
0.0601562 0.22
0.0609375 0.25
0.0617188 0.212
0.0625 0.242
0.0632812 0.288
0.0640625 0.316
0.0648438 0.3
0.065625 0.34
0.0664062 0.342
0.0671875 0.372
0.0679688 0.384
0.06875 0.436
0.0695313 0.446
0.0703125 0.444
0.0710938 0.448
0.071875 0.5
0.0726563 0.468
0.0734375 0.492
0.0742188 0.566
0.075 0.54
0.0757813 0.576
0.0765625 0.594
0.0773438 0.6
0.078125 0.604
0.0789063 0.654
0.0796875 0.66
0.0804688 0.624
0.08125 0.658
0.0820313 0.666
0.0828125 0.702
0.0835938 0.718
0.084375 0.752
0.0851563 0.688
0.0859375 0.736
0.0867188 0.756
0.0875 0.772
0.0882813 0.726
0.0890625 0.784
0.0898438 0.786
0.090625 0.788
0.0914063 0.788
0.0921875 0.842
0.0929688 0.82
0.09375 0.836
0.0945312 0.852
0.0953125 0.878
0.0960938 0.858
0.096875 0.888
0.0976562 0.862
0.0984375 0.864
0.0992188 0.894
0.1 0.884
0.100781 0.88
0.101562 0.872
0.102344 0.92
0.103125 0.914
0.103906 0.908
0.104688 0.92
0.105469 0.904
0.10625 0.918
0.107031 0.922
0.107813 0.926
0.108594 0.936
0.109375 0.932
0.110156 0.938
0.110937 0.95
0.111719 0.972
0.1125 0.938
0.113281 0.96
0.114063 0.958
0.114844 0.98
0.115625 0.96
0.117188 0.96
0.117969 0.962
0.11875 0.958
0.119531 0.966
0.120312 0.962
0.121094 0.978
0.121875 0.968
0.122656 0.972
0.123438 0.982
0.124219 0.982
0.125 0.96
0.125781 0.974
0.126562 0.982
0.128125 0.982
0.13125 0.982
0.132031 0.998
0.132812 0.978
0.133594 0.992
0.134375 0.984
0.135156 0.984
0.135938 0.992
0.1375 0.992
0.138281 0.994
0.139063 0.994
0.139844 0.994
0.140625 0.986
0.141406 0.992
0.142188 0.992
0.142969 0.992
0.14375 0.996
0.15 0.996
0.153125 0.996
0.153906 1
0.154688 1
0.155469 1
0.15625 0.998
0.157813 0.998
0.158594 1
0.159375 1
0.160156 1
0.160938 0.998
0.161719 0.996
0.1625 0.992
0.163281 1
0.164063 0.998
0.164844 1
0.165625 0.996
0.166406 0.998
0.167188 0.998
0.167969 0.996
0.16875 1
0.175 1
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
