# N=25 REP=500 dy=0.01
# BRG
# eulerianCycle p
0 1
0.00078125 0.79
0.0015625 0.61
0.00234375 0.512
0.003125 0.4
0.00390625 0.31
0.0046875 0.234
0.00546875 0.188
0.00625 0.16
0.00703125 0.106
0.0078125 0.084
0.00859375 0.074
0.009375 0.06
0.0101563 0.042
0.0109375 0.028
0.0117188 0.034
0.0125 0.018
0.015625 0.014
0.01875 0.004
0.025 0
0.05 0
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
0.95 0
0.975 0
0.98125 0.008
0.984375 0.012
0.9875 0.02
0.988281 0.038
0.989063 0.034
0.989844 0.044
0.990625 0.06
0.991406 0.072
0.992188 0.074
0.992969 0.098
0.99375 0.148
0.994531 0.194
0.995313 0.212
0.996094 0.298
0.996875 0.4
0.997656 0.452
0.998437 0.644
0.999219 0.818
1 1
