# N=10 REP=500 dy=0.01
# BRG
# eulerianPath p
0 1
0.003125 0.996
0.00390625 0.99
0.0046875 0.984
0.00625 0.984
0.00703125 0.96
0.0078125 0.97
0.00859375 0.94
0.009375 0.958
0.0125 0.954
0.0132813 0.938
0.0140625 0.906
0.0148437 0.922
0.015625 0.896
0.0164063 0.896
0.0171875 0.86
0.0179688 0.874
0.01875 0.84
0.0195313 0.876
0.0203125 0.852
0.0210938 0.844
0.021875 0.806
0.0226563 0.8
0.0234375 0.79
0.025 0.784
0.0265625 0.782
0.0273438 0.772
0.028125 0.748
0.0296875 0.744
0.0304687 0.718
0.03125 0.706
0.0320312 0.694
0.0328125 0.696
0.034375 0.686
0.0351562 0.644
0.0359375 0.656
0.0375 0.658
0.0382813 0.634
0.0390625 0.646
0.0398438 0.61
0.040625 0.592
0.0421875 0.584
0.0429688 0.568
0.04375 0.538
0.0453125 0.544
0.0460938 0.554
0.046875 0.51
0.05 0.502
0.0507812 0.538
0.0515625 0.478
0.053125 0.484
0.0539063 0.484
0.0546875 0.444
0.05625 0.444
0.059375 0.45
0.0601562 0.404
0.0609375 0.394
0.0617188 0.36
0.0625 0.36
0.0640625 0.366
0.0648438 0.394
0.065625 0.334
0.0664062 0.338
0.0671875 0.384
0.0679688 0.338
0.06875 0.346
0.071875 0.338
0.0726563 0.31
0.0734375 0.324
0.0742188 0.302
0.075 0.288
0.078125 0.278
0.0796875 0.278
0.0804688 0.258
0.08125 0.236
0.084375 0.24
0.0859375 0.236
0.0867188 0.26
0.0875 0.254
0.0882813 0.256
0.0890625 0.238
0.0898438 0.222
0.090625 0.226
0.0914063 0.232
0.0921875 0.246
0.0929688 0.216
0.09375 0.216
0.0953125 0.212
0.0960938 0.192
0.096875 0.234
0.0976562 0.2
0.0984375 0.174
0.0992188 0.202
0.1 0.162
0.1125 0.164
0.114063 0.16
0.114844 0.166
0.115625 0.14
0.11875 0.142
0.125 0.148
0.128125 0.138
0.128906 0.106
0.129688 0.114
0.13125 0.124
0.1375 0.124
0.14375 0.116
0.144531 0.108
0.145313 0.098
0.146094 0.13
0.146875 0.14
0.147656 0.112
0.148438 0.098
0.15 0.104
0.175 0.1
0.18125 0.092
0.1875 0.086
0.19375 0.086
0.196875 0.082
0.2 0.074
0.2125 0.074
0.21875 0.082
0.225 0.084
0.2375 0.094
0.25 0.104
0.3 0.096
0.35 0.09
0.4 0.086
0.5 0.078
0.6 0.072
0.60625 0.08
0.6125 0.088
0.625 0.086
0.6375 0.078
0.638281 0.108
0.639062 0.09
0.640625 0.09
0.642187 0.09
0.642969 0.074
0.64375 0.116
0.644531 0.11
0.645312 0.078
0.646875 0.086
0.648437 0.09
0.65 0.096
0.7 0.106
0.70625 0.098
0.707812 0.104
0.708594 0.084
0.709375 0.088
0.710937 0.09
0.711719 0.082
0.7125 0.066
0.725 0.074
0.75 0.07
0.8 0.062
0.800781 0.078
0.801563 0.08
0.803125 0.084
0.80625 0.082
0.8125 0.086
0.825 0.084
0.85 0.084
0.875 0.086
0.875781 0.05
0.876563 0.06
0.878125 0.054
0.88125 0.062
0.8875 0.064
0.89375 0.068
0.894531 0.064
0.895313 0.046
0.896875 0.052
0.9 0.044
0.90625 0.044
0.909375 0.044
0.910938 0.05
0.911719 0.052
0.9125 0.032
0.915625 0.034
0.916406 0.044
0.917188 0.014
0.917969 0.016
0.91875 0.05
0.919531 0.034
0.920313 0.01
0.921094 0.022
0.921875 0.022
0.925 0.018
0.95 0.008
1 0
