# N=50 REP=500 dy=0.1
# BRG
# midaCompConMax p
0 1
0.00078125 1.648
0.0015625 2.012
0.00234375 2.266
0.003125 2.43
0.00390625 2.64
0.0046875 2.902
0.00546875 3.08
0.00625 3.398
0.00703125 3.738
0.0078125 3.992
0.00859375 4.306
0.009375 4.588
0.0101563 4.958
0.0109375 5.338
0.0117188 5.918
0.0125 6.11
0.0132813 6.624
0.0140625 7.044
0.0148437 7.52
0.015625 8.084
0.0164063 8.85
0.0171875 9.464
0.0179688 10.264
0.01875 10.884
0.0195313 12.18
0.0203125 12.688
0.0210938 13.978
0.021875 14.608
0.0226563 15.614
0.0234375 16.772
0.0242188 17.846
0.025 18.96
0.0257813 20.516
0.0265625 21.44
0.0273438 21.99
0.028125 24.34
0.0289063 25.064
0.0296875 26.172
0.0304687 27.774
0.03125 29.228
0.0320312 29.41
0.0328125 31.428
0.0335938 31.6
0.034375 32.8
0.0351562 34.228
0.0359375 34.97
0.0367188 35.798
0.0375 36.17
0.0382813 37.352
0.0390625 38.014
0.0398438 38.652
0.040625 39.238
0.0414063 39.41
0.0421875 40.12
0.0429688 40.932
0.04375 40.856
0.0445313 42.086
0.0453125 42.496
0.0460938 42.96
0.046875 43.32
0.0476562 43.564
0.0484375 43.814
0.0492188 44.06
0.05 44.712
0.0507812 44.574
0.0515625 45.032
0.0523438 45.104
0.053125 45.284
0.0539063 45.668
0.0546875 45.864
0.0554687 46.29
0.05625 46.332
0.0570313 46.714
0.0578125 46.45
0.0585938 46.732
0.059375 47
0.0601562 46.998
0.0609375 47.222
0.0617188 47.348
0.0625 47.328
0.0632812 47.696
0.0640625 47.62
0.0648438 47.758
0.065625 47.806
0.0664062 47.86
0.0671875 48.064
0.0679688 48.152
0.06875 48.184
0.0695313 48.268
0.0703125 48.358
0.0710938 48.382
0.071875 48.588
0.0734375 48.64
0.0742188 48.796
0.075 48.83
0.0765625 48.898
0.078125 48.98
0.0796875 49.008
0.08125 49.098
0.0820313 49.174
0.0828125 49.272
0.084375 49.282
0.0859375 49.288
0.0867188 49.432
0.0875 49.404
0.090625 49.466
0.0914063 49.502
0.0921875 49.582
0.09375 49.584
0.1 49.682
0.10625 49.78
0.1125 49.874
0.125 49.924
0.15 49.978
0.2 50
0.3 50
0.4 50
0.5 50
0.6 50
0.7 50
0.8 50
0.9 50
1 50
