# N=100 REP=500 dy=0.1
# BRG
# numCompCon p
0 100
0.00078125 96.126
0.0015625 92.288
0.00234375 88.39
0.003125 84.4
0.00390625 80.65
0.0046875 76.586
0.00546875 73.036
0.00625 68.946
0.00703125 65.146
0.0078125 61.556
0.00859375 57.602
0.009375 54.238
0.0101563 50.798
0.0109375 46.406
0.0117188 43.18
0.0125 40.19
0.0132813 37.044
0.0140625 33.692
0.0148437 30.744
0.015625 27.856
0.0164063 25.716
0.0171875 23.794
0.0179688 21.99
0.01875 20.112
0.0195313 17.908
0.0203125 16.572
0.0210938 15.26
0.021875 14.464
0.0226563 13.382
0.0234375 12.394
0.0242188 11.062
0.025 10.176
0.0257813 9.68
0.0265625 9.058
0.0273438 7.972
0.028125 7.628
0.0289063 6.972
0.0296875 6.386
0.0304687 6.144
0.03125 5.61
0.0320312 5.27
0.0328125 4.858
0.0335938 4.848
0.034375 4.344
0.0351562 4.048
0.0359375 3.848
0.0367188 3.738
0.0375 3.34
0.0382813 3.234
0.0390625 2.94
0.0398438 2.996
0.040625 2.694
0.0414063 2.582
0.0421875 2.488
0.0429688 2.28
0.04375 2.266
0.0453125 2.18
0.0460938 1.924
0.046875 1.822
0.0476562 1.82
0.0484375 1.694
0.05 1.66
0.0507812 1.632
0.0515625 1.512
0.053125 1.456
0.0546875 1.366
0.05625 1.302
0.059375 1.212
0.0625 1.186
0.065625 1.126
0.06875 1.08
0.075 1.04
0.1 1.004
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
