# N=10 REP=500 dy=0.01
# GRG
# cicle p
0 0
0.05 0
0.0625 0.004
0.06875 0.012
0.0703125 0.012
0.0710938 0.02
0.071875 0.026
0.075 0.026
0.0875 0.018
0.0882813 0.038
0.0890625 0.044
0.090625 0.044
0.09375 0.036
0.0945312 0.06
0.0953125 0.06
0.0960938 0.048
0.096875 0.048
0.0984375 0.042
0.0992188 0.046
0.1 0.064
0.10625 0.06
0.107813 0.064
0.108594 0.064
0.109375 0.094
0.110156 0.092
0.110937 0.072
0.1125 0.076
0.114063 0.066
0.115625 0.062
0.116406 0.094
0.117188 0.086
0.117969 0.112
0.11875 0.118
0.125 0.112
0.13125 0.12
0.132031 0.12
0.132812 0.142
0.133594 0.156
0.134375 0.186
0.1375 0.184
0.15 0.19
0.150781 0.226
0.151563 0.24
0.153125 0.236
0.153906 0.242
0.154688 0.248
0.15625 0.252
0.157813 0.246
0.158594 0.254
0.159375 0.272
0.1625 0.268
0.163281 0.278
0.164063 0.316
0.164844 0.256
0.165625 0.298
0.167188 0.29
0.167969 0.29
0.16875 0.312
0.169531 0.314
0.170313 0.284
0.171094 0.302
0.171875 0.34
0.175 0.334
0.175781 0.346
0.176563 0.308
0.177344 0.37
0.178125 0.356
0.18125 0.354
0.182031 0.38
0.182813 0.394
0.184375 0.386
0.1875 0.384
0.190625 0.392
0.191406 0.448
0.192188 0.454
0.19375 0.45
0.194531 0.448
0.195312 0.406
0.196094 0.442
0.196875 0.44
0.2 0.438
0.200781 0.488
0.201563 0.496
0.202344 0.51
0.203125 0.514
0.20625 0.52
0.207031 0.482
0.207813 0.54
0.209375 0.534
0.210938 0.538
0.211719 0.548
0.2125 0.508
0.213281 0.532
0.214063 0.546
0.214844 0.582
0.215625 0.612
0.216406 0.564
0.217188 0.55
0.217969 0.57
0.21875 0.588
0.225 0.586
0.225781 0.626
0.226562 0.648
0.227344 0.646
0.228125 0.63
0.23125 0.632
0.232031 0.678
0.232813 0.67
0.234375 0.668
0.235156 0.664
0.235937 0.696
0.236719 0.702
0.2375 0.652
0.238281 0.692
0.239062 0.716
0.239844 0.698
0.240625 0.706
0.241406 0.69
0.242188 0.724
0.242969 0.718
0.24375 0.744
0.246875 0.74
0.247656 0.678
0.248438 0.716
0.249219 0.704
0.25 0.776
0.25625 0.784
0.257812 0.786
0.259375 0.794
0.260156 0.81
0.260938 0.806
0.2625 0.816
0.265625 0.814
0.266406 0.848
0.267188 0.784
0.267969 0.804
0.26875 0.838
0.271875 0.846
0.272656 0.834
0.273438 0.858
0.275 0.866
0.28125 0.86
0.282031 0.86
0.282813 0.898
0.283594 0.904
0.284375 0.882
0.2875 0.88
0.288281 0.884
0.289062 0.896
0.289844 0.892
0.290625 0.912
0.292187 0.908
0.292969 0.904
0.29375 0.922
0.294531 0.894
0.295312 0.908
0.296875 0.906
0.298438 0.902
0.299219 0.92
0.3 0.936
0.3125 0.946
0.315625 0.936
0.316406 0.924
0.317187 0.958
0.317969 0.954
0.31875 0.97
0.319531 0.936
0.320312 0.96
0.321094 0.952
0.321875 0.942
0.323437 0.948
0.324219 0.964
0.325 0.958
0.33125 0.966
0.3375 0.97
0.34375 0.978
0.35 0.986
0.375 0.992
0.4 0.996
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
