# N=150 REP=500 dy=0.001
# GRG
# esConnex p
0 0
0.1 0
0.103125 0
0.103906 0.002
0.104688 0.006
0.105469 0.002
0.10625 0.004
0.107031 0.006
0.107813 0.012
0.108594 0.012
0.109375 0.018
0.110937 0.018
0.111719 0.026
0.1125 0.046
0.113281 0.052
0.114063 0.066
0.114844 0.072
0.115625 0.088
0.116406 0.112
0.117188 0.09
0.117969 0.124
0.11875 0.14
0.119531 0.164
0.120312 0.15
0.121094 0.186
0.121875 0.22
0.122656 0.242
0.123438 0.24
0.124219 0.282
0.125 0.306
0.125781 0.306
0.126562 0.35
0.127344 0.372
0.128125 0.432
0.128906 0.37
0.129688 0.4
0.130469 0.428
0.13125 0.444
0.132031 0.468
0.132812 0.524
0.133594 0.562
0.134375 0.528
0.135156 0.552
0.135938 0.578
0.136719 0.574
0.1375 0.616
0.138281 0.656
0.139063 0.608
0.139844 0.682
0.140625 0.66
0.141406 0.696
0.142188 0.69
0.142969 0.752
0.14375 0.698
0.144531 0.746
0.145313 0.752
0.146094 0.744
0.146875 0.784
0.147656 0.768
0.148438 0.8
0.149219 0.798
0.15 0.816
0.150781 0.844
0.151563 0.828
0.152344 0.838
0.153125 0.856
0.153906 0.858
0.154688 0.862
0.155469 0.858
0.15625 0.884
0.157031 0.894
0.157813 0.892
0.158594 0.886
0.159375 0.898
0.160938 0.898
0.161719 0.904
0.1625 0.914
0.163281 0.906
0.164063 0.936
0.164844 0.928
0.165625 0.926
0.166406 0.922
0.167188 0.93
0.167969 0.948
0.16875 0.928
0.169531 0.966
0.170313 0.934
0.171094 0.962
0.171875 0.946
0.172656 0.94
0.173438 0.962
0.175 0.962
0.175781 0.952
0.176563 0.966
0.177344 0.966
0.178125 0.97
0.178906 0.968
0.179688 0.976
0.180469 0.968
0.18125 0.956
0.182031 0.968
0.182813 0.982
0.183594 0.984
0.184375 0.978
0.185156 0.99
0.185938 0.984
0.186719 0.992
0.1875 0.988
0.188281 0.99
0.189062 0.976
0.189844 0.994
0.190625 0.99
0.192188 0.99
0.192969 0.996
0.19375 0.976
0.194531 0.99
0.195312 0.988
0.196094 0.99
0.196875 0.99
0.197656 0.98
0.198438 0.992
0.199219 0.996
0.2 0.994
0.200781 0.99
0.201563 0.996
0.202344 1
0.203125 0.99
0.203906 0.996
0.204688 0.994
0.205469 0.994
0.20625 0.992
0.207031 0.99
0.207813 0.994
0.208594 0.996
0.209375 0.998
0.2125 0.998
0.21875 0.998
0.219531 0.996
0.220312 1
0.221094 1
0.221875 0.996
0.222656 0.998
0.223438 1
0.225 1
0.25 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
