# N=60 REP=500 dy=0.01
# GRG
# eulerianCycle p
0 1
0.0015625 0.996
0.00234375 0.982
0.003125 0.94
0.00390625 0.912
0.0046875 0.872
0.00546875 0.838
0.00625 0.832
0.00703125 0.716
0.0078125 0.698
0.00859375 0.676
0.009375 0.618
0.0101563 0.596
0.0109375 0.514
0.0117188 0.466
0.0125 0.414
0.0132813 0.354
0.0140625 0.318
0.0148437 0.334
0.015625 0.29
0.0164063 0.244
0.0171875 0.226
0.0179688 0.152
0.01875 0.18
0.0195313 0.098
0.0203125 0.112
0.0210938 0.072
0.021875 0.074
0.0226563 0.054
0.0234375 0.04
0.0242188 0.032
0.025 0.03
0.0265625 0.03
0.0273438 0.018
0.028125 0.014
0.03125 0.004
0.0375 0
0.05 0
0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1 0
