# N=10 REP=500 dy=0.01
# GRG
# eulerianPath p
0 1
0.025 0.996
0.0375 0.988
0.04375 0.982
0.046875 0.974
0.05 0.97
0.0515625 0.972
0.0523438 0.97
0.053125 0.954
0.05625 0.952
0.0625 0.944
0.06875 0.934
0.0695313 0.898
0.0703125 0.886
0.0710938 0.884
0.071875 0.898
0.0726563 0.908
0.0734375 0.888
0.0742188 0.892
0.075 0.87
0.078125 0.876
0.0789063 0.86
0.0796875 0.85
0.0804688 0.858
0.08125 0.824
0.0875 0.824
0.0882813 0.788
0.0890625 0.788
0.090625 0.788
0.0914063 0.78
0.0921875 0.776
0.0929688 0.792
0.09375 0.744
0.1 0.736
0.100781 0.704
0.101562 0.706
0.102344 0.722
0.103125 0.656
0.104688 0.662
0.10625 0.67
0.107813 0.666
0.108594 0.652
0.109375 0.646
0.110937 0.642
0.111719 0.65
0.1125 0.622
0.113281 0.61
0.114063 0.58
0.114844 0.614
0.115625 0.54
0.116406 0.586
0.117188 0.592
0.117969 0.548
0.11875 0.566
0.121875 0.558
0.122656 0.544
0.123438 0.524
0.124219 0.48
0.125 0.5
0.125781 0.536
0.126562 0.536
0.127344 0.516
0.128125 0.482
0.129688 0.476
0.13125 0.468
0.134375 0.474
0.135156 0.464
0.135938 0.42
0.136719 0.458
0.1375 0.43
0.138281 0.408
0.139063 0.402
0.139844 0.456
0.140625 0.388
0.14375 0.396
0.15 0.394
0.150781 0.37
0.151563 0.298
0.152344 0.336
0.153125 0.312
0.153906 0.316
0.154688 0.348
0.155469 0.292
0.15625 0.302
0.157031 0.294
0.157813 0.252
0.159375 0.252
0.160938 0.256
0.161719 0.26
0.1625 0.238
0.165625 0.23
0.16875 0.224
0.171875 0.228
0.173438 0.224
0.174219 0.216
0.175 0.184
0.176563 0.182
0.177344 0.166
0.178125 0.166
0.179688 0.158
0.18125 0.156
0.1875 0.15
0.188281 0.156
0.189062 0.162
0.189844 0.174
0.190625 0.126
0.191406 0.132
0.192188 0.14
0.192969 0.12
0.19375 0.106
0.194531 0.102
0.195312 0.138
0.196094 0.11
0.196875 0.126
0.2 0.118
0.200781 0.118
0.201563 0.098
0.203125 0.104
0.20625 0.102
0.207031 0.112
0.207813 0.12
0.208594 0.084
0.209375 0.082
0.2125 0.09
0.214063 0.09
0.214844 0.07
0.215625 0.064
0.21875 0.072
0.225 0.078
0.23125 0.086
0.232813 0.094
0.233594 0.05
0.234375 0.062
0.235937 0.056
0.236719 0.056
0.2375 0.044
0.239062 0.046
0.239844 0.042
0.240625 0.06
0.24375 0.062
0.25 0.062
0.3 0.06
0.35 0.052
0.375 0.042
0.38125 0.042
0.382031 0.064
0.382812 0.082
0.384375 0.078
0.3875 0.078
0.4 0.076
0.45 0.078
0.475 0.088
0.478125 0.092
0.479687 0.102
0.480469 0.084
0.48125 0.07
0.482031 0.098
0.482812 0.11
0.484375 0.116
0.485938 0.108
0.4875 0.1
0.5 0.098
0.6 0.102
0.625 0.094
0.65 0.084
0.6625 0.088
0.665625 0.09
0.667187 0.084
0.667969 0.09
0.66875 0.1
0.669531 0.084
0.670312 0.078
0.671875 0.07
0.675 0.068
0.6875 0.066
0.7 0.058
0.75 0.052
0.775 0.046
0.7875 0.038
0.8 0.028
0.825 0.022
0.8375 0.016
0.85 0.006
0.9 0.006
1 0
