# N=60 REP=500 dy=0.1
# GRG
# midaCompConMax p
0 1
0.003125 1.062
0.0046875 1.11
0.00625 1.19
0.0078125 1.278
0.00859375 1.33
0.009375 1.396
0.0101563 1.426
0.0109375 1.506
0.0125 1.548
0.0140625 1.626
0.0148437 1.742
0.015625 1.786
0.0171875 1.882
0.01875 1.934
0.021875 2.03
0.0226563 2.07
0.0234375 2.132
0.025 2.17
0.028125 2.266
0.0289063 2.27
0.0296875 2.382
0.03125 2.42
0.0320312 2.506
0.0328125 2.528
0.0335938 2.536
0.034375 2.642
0.0359375 2.63
0.0367188 2.73
0.0375 2.774
0.0382813 2.804
0.0390625 2.88
0.040625 2.934
0.0421875 2.982
0.04375 3.054
0.0445313 3.218
0.0453125 3.218
0.0460938 3.388
0.046875 3.318
0.0476562 3.354
0.0484375 3.482
0.0492188 3.454
0.05 3.618
0.0515625 3.654
0.0523438 3.644
0.053125 3.766
0.0539063 3.852
0.0546875 3.87
0.05625 3.934
0.0570313 4.128
0.0578125 4.144
0.0585938 4.268
0.059375 4.266
0.0601562 4.418
0.0609375 4.46
0.0625 4.548
0.0640625 4.604
0.0648438 4.694
0.065625 4.822
0.0664062 4.868
0.0671875 5.054
0.0679688 5.064
0.06875 5.184
0.0695313 5.242
0.0703125 5.3
0.0710938 5.54
0.071875 5.564
0.0734375 5.598
0.0742188 5.782
0.075 5.878
0.0757813 6.07
0.0765625 6.074
0.0773438 6.112
0.078125 6.242
0.0789063 6.402
0.0796875 6.43
0.0804688 6.72
0.08125 6.764
0.0820313 6.986
0.0828125 6.986
0.0835938 7.222
0.084375 7.334
0.0859375 7.394
0.0867188 7.68
0.0875 7.948
0.0882813 7.69
0.0890625 8.082
0.0898438 8.226
0.090625 8.23
0.0914063 8.432
0.0921875 8.576
0.0929688 8.864
0.09375 8.948
0.0945312 9.1
0.0953125 9.53
0.0960938 9.42
0.096875 9.706
0.0976562 9.89
0.0984375 10.18
0.0992188 10.314
0.1 10.34
0.100781 10.468
0.101562 11.16
0.102344 10.958
0.103125 11.572
0.104688 11.546
0.105469 11.964
0.10625 12.234
0.107031 12.348
0.107813 12.65
0.108594 12.956
0.109375 13.218
0.110156 13.588
0.110937 13.512
0.111719 13.86
0.1125 14.622
0.113281 14.608
0.114063 15.24
0.114844 15.376
0.115625 15.426
0.116406 15.842
0.117188 16.078
0.117969 16.314
0.11875 16.986
0.119531 17.538
0.120312 18.076
0.121094 18.006
0.121875 18.61
0.122656 18.894
0.123438 19.222
0.124219 19.52
0.125 19.74
0.125781 20.492
0.126562 21.254
0.128125 21.172
0.128906 21.246
0.129688 22.284
0.130469 22.856
0.13125 23.106
0.132031 24.17
0.132812 24.158
0.133594 25.094
0.134375 25.136
0.135156 25.854
0.135938 26.608
0.136719 26.012
0.1375 27.278
0.138281 28.128
0.139063 27.16
0.139844 28.37
0.140625 28.946
0.141406 30.066
0.142188 30.202
0.142969 30.376
0.14375 31.132
0.144531 32.674
0.145313 32.584
0.146875 32.582
0.147656 34.964
0.148438 34.926
0.149219 35.402
0.15 36.32
0.150781 36.878
0.151563 36.694
0.152344 37.466
0.153125 37.404
0.153906 38.654
0.154688 39.4
0.155469 39.546
0.15625 40.878
0.157031 40.764
0.157813 41.284
0.158594 41.014
0.159375 42
0.160156 42.22
0.160938 43.226
0.161719 42.704
0.1625 44.946
0.163281 44.938
0.164063 45.49
0.164844 45.864
0.165625 45.196
0.166406 47.66
0.167188 47.302
0.167969 48.242
0.16875 47.552
0.169531 48.43
0.170313 49.036
0.171094 48.774
0.171875 49.82
0.172656 49.388
0.173438 50.59
0.175 50.494
0.175781 51.408
0.176563 52.3
0.177344 51.398
0.178125 51.872
0.178906 52.844
0.179688 52.262
0.180469 53.384
0.18125 52.702
0.182031 53.41
0.182813 53.502
0.183594 54.546
0.184375 53.856
0.185156 54.29
0.185938 54.59
0.186719 54.904
0.1875 54.314
0.188281 54.974
0.189062 55.404
0.189844 55.466
0.190625 56.102
0.191406 56.316
0.192188 56.432
0.19375 56.478
0.194531 56.258
0.195312 57.106
0.196094 56.48
0.196875 56.946
0.197656 57.134
0.198438 57.238
0.199219 57.51
0.2 57.53
0.201563 57.494
0.202344 57.932
0.203125 57.864
0.203906 58.154
0.204688 57.66
0.205469 58.176
0.20625 58.298
0.207813 58.254
0.208594 58.168
0.209375 58.422
0.210156 58.758
0.210938 58.692
0.2125 58.728
0.214063 58.732
0.214844 59.038
0.215625 58.87
0.216406 58.754
0.217188 58.994
0.217969 58.88
0.21875 59.17
0.221875 59.184
0.222656 59.418
0.223438 59.478
0.225 59.468
0.226562 59.402
0.228125 59.314
0.23125 59.318
0.232031 59.528
0.232813 59.556
0.234375 59.564
0.235156 59.654
0.235937 59.67
0.2375 59.734
0.25 59.738
0.251563 59.77
0.253125 59.866
0.25625 59.85
0.2625 59.912
0.275 59.962
0.3 59.986
0.4 60
0.5 60
0.6 60
0.7 60
0.8 60
0.9 60
1 60
