# N=10 REP=500 dy=0.1
# GRG
# numCompCon p
0 10
0.0125 9.986
0.025 9.898
0.0375 9.834
0.040625 9.786
0.04375 9.72
0.05 9.68
0.05625 9.58
0.0625 9.49
0.065625 9.44
0.06875 9.346
0.075 9.32
0.078125 9.25
0.08125 9.196
0.0828125 9.154
0.0835938 9.07
0.084375 9.016
0.0875 9.058
0.090625 8.974
0.09375 8.878
0.096875 8.778
0.1 8.762
0.10625 8.666
0.109375 8.582
0.110937 8.512
0.1125 8.468
0.115625 8.464
0.116406 8.426
0.117188 8.294
0.11875 8.244
0.121875 8.22
0.123438 8.162
0.125 8.11
0.128125 8.036
0.13125 7.98
0.132812 7.98
0.133594 7.966
0.134375 7.852
0.1375 7.866
0.14375 7.78
0.144531 7.632
0.145313 7.584
0.146875 7.492
0.15 7.566
0.151563 7.556
0.152344 7.366
0.153125 7.4
0.15625 7.426
0.157813 7.346
0.158594 7.218
0.159375 7.216
0.1625 7.174
0.165625 7.09
0.166406 7.004
0.167188 6.924
0.16875 6.874
0.171875 6.814
0.175 6.734
0.178125 6.65
0.18125 6.616
0.182813 6.604
0.183594 6.53
0.184375 6.452
0.185938 6.51
0.186719 6.562
0.1875 6.318
0.19375 6.218
0.196875 6.238
0.198438 6.162
0.199219 6.118
0.2 6.008
0.201563 5.996
0.203125 5.898
0.20625 5.834
0.209375 5.762
0.210938 5.752
0.2125 5.66
0.214063 5.624
0.215625 5.558
0.21875 5.5
0.221875 5.404
0.222656 5.436
0.223438 5.536
0.224219 5.402
0.225 5.27
0.228125 5.238
0.23125 5.142
0.234375 5.08
0.235156 4.998
0.235937 4.916
0.2375 4.972
0.240625 4.888
0.24375 4.818
0.246875 4.724
0.248438 4.7
0.249219 4.696
0.25 4.53
0.253125 4.554
0.25625 4.648
0.257031 4.516
0.257812 4.41
0.259375 4.438
0.260938 4.458
0.261719 4.348
0.2625 4.292
0.26875 4.222
0.270313 4.154
0.271875 4.062
0.275 4.042
0.278125 4.074
0.278906 3.922
0.279687 3.84
0.280469 3.892
0.28125 3.734
0.2875 3.81
0.288281 3.698
0.289062 3.682
0.290625 3.676
0.29375 3.592
0.3 3.522
0.301562 3.508
0.303125 3.412
0.304688 3.426
0.305469 3.314
0.30625 3.278
0.309375 3.248
0.310937 3.266
0.311719 3.282
0.3125 3.14
0.31875 3.102
0.320312 3.038
0.321875 3.002
0.323437 3.02
0.324219 3.022
0.325 2.874
0.33125 2.856
0.332812 2.81
0.334375 2.752
0.3375 2.692
0.34375 2.66
0.346875 2.584
0.348437 2.582
0.35 2.482
0.35625 2.414
0.359375 2.318
0.360156 2.31
0.360938 2.434
0.361719 2.336
0.3625 2.206
0.375 2.164
0.38125 2.066
0.3875 2.01
0.39375 1.976
0.396875 1.898
0.4 1.82
0.4125 1.754
0.41875 1.696
0.421875 1.656
0.425 1.58
0.4375 1.57
0.440625 1.526
0.44375 1.44
0.45 1.47
0.45625 1.434
0.4625 1.354
0.475 1.322
0.4875 1.248
0.5 1.194
0.525 1.118
0.55 1.086
0.6 1.034
0.7 1.01
0.8 1
0.9 1
1 1
