# N=50 REP=500 dy=0.1
# p-connected p
0 50
0.00078125 49.032
0.0015625 48.082
0.00234375 47.312
0.003125 46.074
0.00390625 45.302
0.0046875 44.41
0.00546875 43.26
0.00625 42.274
0.00703125 41.54
0.0078125 40.578
0.00859375 39.558
0.009375 38.38
0.0101563 37.326
0.0109375 36.778
0.0117188 35.894
0.0125 34.748
0.0132813 33.852
0.0140625 32.748
0.0148437 31.768
0.015625 31.124
0.0164063 29.936
0.0171875 29.082
0.0179688 28.146
0.01875 27.696
0.0195313 25.982
0.0203125 25.922
0.0210938 24.808
0.021875 23.688
0.0226563 22.95
0.0234375 22.172
0.0242188 21.348
0.025 20.632
0.0257813 19.882
0.0265625 18.95
0.0273438 18.468
0.028125 17.352
0.0289063 16.474
0.0296875 16.448
0.0304687 15.564
0.03125 15.02
0.0320312 14.144
0.0328125 13.818
0.0335938 12.602
0.034375 12.69
0.0351562 11.85
0.0359375 11.714
0.0367188 11.234
0.0375 10.486
0.0382813 10.268
0.0390625 9.548
0.0398438 9.356
0.040625 9.224
0.0414063 8.512
0.0421875 8.138
0.0429688 7.97
0.04375 7.684
0.0445313 7.316
0.0453125 7.098
0.0460938 6.984
0.046875 6.526
0.0476562 6.432
0.0484375 6.062
0.0492188 6.046
0.05 5.502
0.0507812 5.462
0.0515625 5.332
0.0523438 5.178
0.053125 4.882
0.0539063 4.626
0.0546875 4.582
0.0554687 4.478
0.05625 4.146
0.0570313 3.968
0.0578125 4.042
0.0585938 3.89
0.059375 3.83
0.0601562 3.608
0.0609375 3.49
0.0617188 3.368
0.0625 3.32
0.0632812 3.262
0.0640625 3.172
0.0648438 2.984
0.065625 2.87
0.0671875 2.846
0.0679688 2.676
0.06875 2.618
0.0703125 2.538
0.0710938 2.364
0.071875 2.412
0.0726563 2.276
0.0734375 2.258
0.075 2.196
0.0757813 2.122
0.0765625 2.06
0.078125 2.016
0.0796875 1.918
0.0804688 1.942
0.08125 1.784
0.0828125 1.742
0.0835938 1.768
0.084375 1.634
0.0875 1.574
0.090625 1.488
0.09375 1.4
0.1 1.322
0.103125 1.248
0.10625 1.218
0.1125 1.128
0.125 1.072
0.15 1.008
0.2 1
0.3 1
0.4 1
0.5 1
0.6 1
0.7 1
0.8 1
0.9 1
1 1
