# N=25 REP=500 dy=0.1
# p-connected p
0 25
0.00625 24.95
0.0125 24.874
0.015625 24.798
0.0171875 24.748
0.01875 24.682
0.0203125 24.602
0.021875 24.52
0.025 24.42
0.0265625 24.322
0.028125 24.286
0.0296875 24.208
0.0304687 24.104
0.03125 24.084
0.0328125 24.052
0.0335938 24.048
0.034375 23.872
0.0359375 23.81
0.0367188 23.838
0.0375 23.708
0.0390625 23.688
0.0398438 23.56
0.040625 23.562
0.0414063 23.444
0.0421875 23.34
0.0429688 23.288
0.04375 23.222
0.0453125 23.248
0.0460938 22.988
0.046875 23.044
0.0476562 23.058
0.0484375 22.812
0.05 22.836
0.0507812 22.718
0.0515625 22.704
0.0523438 22.626
0.053125 22.446
0.0546875 22.366
0.05625 22.336
0.0570313 22.372
0.0578125 22.112
0.0585938 22.018
0.059375 21.864
0.0609375 21.916
0.0617188 21.692
0.0625 21.564
0.0640625 21.558
0.0648438 21.434
0.065625 21.35
0.0664062 21.276
0.0671875 21.188
0.06875 21.118
0.0695313 20.9
0.0703125 20.96
0.0710938 20.876
0.071875 20.818
0.0726563 20.558
0.0734375 20.56
0.0742188 20.468
0.075 20.356
0.0765625 20.408
0.0773438 20.204
0.078125 20.238
0.0789063 19.974
0.0796875 19.836
0.08125 19.88
0.0820313 19.67
0.0828125 19.684
0.0835938 19.43
0.084375 19.354
0.0851563 19.192
0.0859375 19.152
0.0867188 19.086
0.0875 18.998
0.0882813 18.884
0.0890625 18.622
0.0898438 18.642
0.090625 18.512
0.0921875 18.518
0.0929688 18.282
0.09375 18.202
0.0945312 18.162
0.0953125 17.974
0.096875 17.906
0.0976562 17.592
0.0984375 17.618
0.0992188 17.508
0.1 17.364
0.101562 17.334
0.102344 17.182
0.103125 16.912
0.104688 16.834
0.105469 16.762
0.10625 16.696
0.107031 16.502
0.107813 16.518
0.108594 16.412
0.109375 16.234
0.110156 16.178
0.110937 16.026
0.111719 15.826
0.1125 15.902
0.113281 15.75
0.114063 15.668
0.114844 15.528
0.115625 15.492
0.116406 15.392
0.117188 15.33
0.117969 15.292
0.11875 15.074
0.120312 15.096
0.121094 14.936
0.121875 14.718
0.122656 14.386
0.123438 14.49
0.124219 14.394
0.125 14.264
0.125781 14.366
0.126562 14.048
0.127344 13.9
0.128125 13.858
0.129688 13.78
0.130469 13.624
0.13125 13.256
0.132031 13.386
0.132812 13.386
0.133594 13.194
0.134375 13.096
0.135156 12.982
0.135938 12.87
0.136719 12.638
0.1375 12.604
0.138281 12.642
0.139063 12.312
0.140625 12.222
0.141406 12.214
0.142188 12.068
0.142969 11.914
0.14375 11.778
0.144531 11.796
0.145313 11.982
0.146094 11.746
0.146875 11.272
0.15 11.278
0.150781 11.098
0.151563 11.006
0.153125 10.974
0.153906 10.68
0.154688 10.586
0.15625 10.488
0.157031 10.328
0.157813 10.156
0.159375 10.158
0.160938 10.128
0.161719 9.936
0.1625 9.776
0.163281 9.636
0.164063 9.43
0.165625 9.484
0.166406 9.114
0.167188 9.25
0.167969 9.198
0.16875 8.966
0.169531 8.934
0.170313 8.774
0.171875 8.74
0.172656 8.632
0.173438 8.588
0.174219 8.478
0.175 8.394
0.175781 8.386
0.176563 8.256
0.177344 8.11
0.178125 8.012
0.179688 7.932
0.180469 7.778
0.18125 7.682
0.182031 7.642
0.182813 7.51
0.184375 7.436
0.185156 7.252
0.185938 7.19
0.186719 7.316
0.1875 7.068
0.189062 7.034
0.189844 6.934
0.190625 6.656
0.19375 6.59
0.195312 6.492
0.196094 6.366
0.196875 6.218
0.198438 6.126
0.199219 5.972
0.2 5.896
0.201563 5.86
0.202344 5.974
0.203125 5.758
0.204688 5.754
0.205469 5.694
0.20625 5.534
0.207031 5.426
0.207813 5.426
0.209375 5.36
0.210156 5.212
0.210938 5.142
0.2125 5.06
0.213281 5.076
0.214063 4.916
0.214844 4.898
0.215625 4.794
0.216406 4.8
0.217188 4.654
0.21875 4.622
0.220312 4.546
0.221094 4.626
0.221875 4.416
0.222656 4.272
0.223438 4.266
0.224219 4.34
0.225 4.124
0.228125 4.062
0.228906 4.016
0.229688 3.902
0.23125 3.87
0.232813 3.888
0.233594 3.684
0.234375 3.67
0.2375 3.67
0.238281 3.446
0.239062 3.378
0.240625 3.32
0.24375 3.24
0.245312 3.142
0.246875 3.052
0.25 2.994
0.250781 2.914
0.251563 2.818
0.253125 2.81
0.254687 2.72
0.25625 2.702
0.257812 2.612
0.259375 2.57
0.2625 2.546
0.263281 2.362
0.264062 2.384
0.265625 2.366
0.26875 2.306
0.271875 2.246
0.272656 2.11
0.273438 2.116
0.275 2.112
0.278125 2.082
0.279687 2.054
0.280469 1.96
0.28125 1.944
0.282813 1.872
0.284375 1.808
0.2875 1.8
0.290625 1.748
0.29375 1.66
0.3 1.596
0.303125 1.58
0.30625 1.49
0.3125 1.43
0.325 1.352
0.33125 1.288
0.3375 1.206
0.35 1.162
0.375 1.108
0.4 1.046
0.5 1.006
0.6 1
0.7 1
0.8 1
0.9 1
1 1
